Station,Year,Month,Day,Daily.Rainfall.Total..mm.,Latitude,Longitude,Date,Season
Botanic Garden,2018,9,12,0,1.3087,103.818,2018/9/12,Southwest Monsoon
Botanic Garden,2018,9,13,0,1.3087,103.818,2018/9/13,Southwest Monsoon
Botanic Garden,2018,9,14,0,1.3087,103.818,2018/9/14,Southwest Monsoon
Botanic Garden,2018,9,15,0,1.3087,103.818,2018/9/15,Southwest Monsoon
Botanic Garden,2018,9,16,0,1.3087,103.818,2018/9/16,Southwest Monsoon
Botanic Garden,2018,9,17,0,1.3087,103.818,2018/9/17,Southwest Monsoon
Botanic Garden,2018,9,18,2,1.3087,103.818,2018/9/18,Southwest Monsoon
Botanic Garden,2018,9,19,42.6,1.3087,103.818,2018/9/19,Southwest Monsoon
Botanic Garden,2018,9,20,8.6,1.3087,103.818,2018/9/20,Southwest Monsoon
Botanic Garden,2018,9,21,17.6,1.3087,103.818,2018/9/21,Southwest Monsoon
Botanic Garden,2018,9,22,0.2,1.3087,103.818,2018/9/22,Southwest Monsoon
Botanic Garden,2018,9,23,0,1.3087,103.818,2018/9/23,Southwest Monsoon
Botanic Garden,2018,9,24,0,1.3087,103.818,2018/9/24,Southwest Monsoon
Botanic Garden,2018,9,25,0,1.3087,103.818,2018/9/25,Southwest Monsoon
Botanic Garden,2018,9,26,0,1.3087,103.818,2018/9/26,Southwest Monsoon
Botanic Garden,2018,9,27,0,1.3087,103.818,2018/9/27,Southwest Monsoon
Botanic Garden,2018,9,28,0,1.3087,103.818,2018/9/28,Southwest Monsoon
Botanic Garden,2018,9,29,0,1.3087,103.818,2018/9/29,Southwest Monsoon
Botanic Garden,2018,9,30,0,1.3087,103.818,2018/9/30,Southwest Monsoon
Botanic Garden,2018,10,1,0,1.3087,103.818,2018/10/1,Inter-monsoon II
Botanic Garden,2018,10,2,0,1.3087,103.818,2018/10/2,Inter-monsoon II
Botanic Garden,2018,10,3,0,1.3087,103.818,2018/10/3,Inter-monsoon II
Botanic Garden,2018,10,4,0,1.3087,103.818,2018/10/4,Inter-monsoon II
Botanic Garden,2018,10,5,0,1.3087,103.818,2018/10/5,Inter-monsoon II
Botanic Garden,2018,10,6,1,1.3087,103.818,2018/10/6,Inter-monsoon II
Botanic Garden,2018,10,7,0,1.3087,103.818,2018/10/7,Inter-monsoon II
